rok;wojewodztwo;powiat;gmina;teryt
2014;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2015;dolnośląskie;bolesławiecki;osiecznica;20105
2015;dolnośląskie;bolesławiecki;warta bolesławiecka;20106
2015;dolnośląskie;bolesławiecki;gromadka;20103
2015;dolnośląskie;bolesławiecki;bolesławiec;20101
2015;dolnośląskie;bolesławiecki;bolesławiec;20102
2015;dolnośląskie;bolesławiecki;nowogrodziec;20104
1999;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
1999;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
1999;kujawsko-pomorskie;aleksandrowski;waganiec;40108
1999;kujawsko-pomorskie;aleksandrowski;raciążek;40107
1999;kujawsko-pomorskie;aleksandrowski;koneck;40106
1999;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
1999;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
1999;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
1999;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2000;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2000;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2000;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2000;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2000;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2000;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2000;kujawsko-pomorskie;aleksandrowski;koneck;40106
2000;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2000;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2001;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2001;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2001;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40101
2001;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2001;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2001;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
2001;kujawsko-pomorskie;aleksandrowski;koneck;40106
2001;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2001;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2002;kujawsko-pomorskie;aleksandrowski;aleksandrów kujawski;40104
2002;kujawsko-pomorskie;aleksandrowski;zakrzewo;40109
2002;kujawsko-pomorskie;aleksandrowski;nieszawa;40103
2002;kujawsko-pomorskie;aleksandrowski;ciechocinek;40102
2002;kujawsko-pomorskie;aleksandrowski;waganiec;40108
2002;kujawsko-pomorskie;aleksandrowski;raciążek;40107
2002;kujawsko-pomorskie;aleksandrowski;bądkowo;40105
